gram	#words	#occurrences	example1	example2	example3
├ge	1781	11225	gesanten	gelegentheyt	gediscoureert
├va	166	8031	van	vande	vaertuyghen
├en	36	7752	ende	enite	endé
├de	250	6535	deser	despecheren	den
├da	193	5949	dat	dancksegginge	dato
├me	150	5725	met	mede	mei
├ve	951	5078	versocht	verovert	verbleven
├ee	121	4634	eerbiedigh	een	eenige
├vo	334	4566	voor	volgende	voorstadt
├de┤	1	4429	de
├te┤	1	4359	te
├wa	160	4102	waer	waren	was
├co	501	4011	contentement	contrarie	combineren
├so	210	3985	soodanigen	soude	solpher
├al	142	3980	als	alreets	aliantie
├we	250	3875	wesen	weshalven	weygeringh
├he	167	3658	heeft	heer	het
├be	798	3332	begeert	belooflde	bemachtigen
├ha	126	3155	haer	hare	hadden
├na	158	3059	naer	nae	natie
├on	530	2988	onse	onder	onser
├sy	36	2729	syner	sylieden	syne
├ae	261	2711	aengenomen	aengetogen	aende
├ma	208	2639	maer	mandamenlen	malroose
├di	166	2369	ditto	die	dient
├in┤	1	2289	in
├to	173	2070	toegeseyt	tot	tol
├do	139	2063	door	doen	dooden
├re	298	2006	reede	reden	redresseren
├ni	52	1858	niet	nieuwe	niettegenstaende
├se	162	1805	secunda	seer	selver
├d'┤	1	1796	d'
├la	203	1748	landen	lamboe	lasten
├op┤	1	1748	op
├in	259	1712	inbeeldende	invaderen	informatie
├st	231	1671	stant	staét	staat
├sc	298	1622	schatten	schicken	schrift
├Ma	269	1578	Maen	Malacca	May
├Co	147	1493	Conincx	Commissaris	Comp
├'t┤	1	1380	't
├uy	182	1360	uyl	uytierste	uyt
├an	44	1284	antwoort	ander	andere
├go	128	1246	goet	goederen	goede
├te	90	1186	ter	tegen	ten
├pa	173	1175	partye	parthye	paerden
├mo	142	1162	monterende	mochten	motie
├ca	226	1110	campher	canonschoot	capileyn
├oo	76	1104	ootmoedige	oock	oorloge
├ho	181	1101	hoogh	hooghslen	hoorden
├hu	57	1061	hunner	hun	hulpe
├wi	76	1046	wierl	wierden	wiert
├om┤	1	1034	om
├sa	106	1012	sal	samen	salvo
├mi	92	1001	misnoegende	minder	mishaeght
├su	109	969	substantie	sulcx	sullen
├ov	160	961	over	overleden	overvloet
├Ja	93	957	Jan	Jacob	Javaense
├ja	48	951	jacht	jaerlycx	jare
├pr	195	940	princen	principalen	presteren
├cl	101	919	cleyn	cleynoilien	cleyne
├no	95	901	nochte	noch	noodige
├by┤	1	893	by
├E┤	1	883	E
├Go	102	879	Gouverneurs	Gouverneur	Goninck
├of	30	878	off	offle	ofte
├op	203	863	opclimmende	opgehouden	opgenomen
├gr	75	793	groeten	groolen	grooten
├vr	152	786	vriendelyck	vreese	vrunischap
├Ba	129	775	Bangry	Bandanesen	Ballacky
├2┤	1	769	2
├br	93	768	brieven	brenght	brieff
├en┤	1	765	en
├pe	103	738	peper	persoon	periculeusen
├ry	39	643	rys	rycke	rycxdaelder
├bo	157	643	bootjen	boomen	boven
├ne	82	614	negolie	nemen	negen
├ga	116	580	gantsch	gaen	gantsche
├Pa	140	562	Panghlymas	Panglima	Paducka
├qu	79	551	quamen	queen	qualyck
├;┤	1	546	;
├De	36	540	Des	Den	Dese
├Ca	143	538	Capiteyn	Cap	Capt
├Ch	76	536	Cherrebon	Chillebhaer	Chineese
├is┤	1	535	is
├ey	43	519	eynde	eylanden	eyscht
├le	106	512	lesen	legatie	leveren
├ty	25	496	tyt	tydingh	tydelyck
├af	229	494	affcortinge	affscheyt	aff
├si	81	493	sich	situatie	sittende
├bl	83	482	blyft	blyvende	blancke
├ba	108	477	ballast	barus	battalie
├Ge	65	463	Generael	Geus	Generaels
├wo	38	444	worden	wordende	wooninge
├ro	103	441	rooven	ront	ronden
